id,hasPredictions,hasPhenotypes
JJS-MGP009,False,True
JJS-DIN262,False,False
JJS-DIN112,True,True
JJS-DIN237,True,True
JJS-DIN039,True,True
JJS-MGP028,False,True
JJS-DIN224,True,True
JJS-MGP109,False,True
JJS-MGP074,False,True
JJS-DIN257,False,False
JJS-DIN208,True,True
JJS-MGP209,False,True
JJS-DIN146,True,True
JJS-DIN214,True,True
JJS-MGP229,False,True
JJS-MGP062,False,True
JJS-DIN108,True,True
JJS-MGP120,False,True
JJS-DIN090,True,True
JJS-DIN029,True,True
JJS-MGP122,False,True
JJS-DIN198,True,True
JJS-MGP098,False,True
JJS-DIN048,True,True
JJS-MGP082,False,True
JJS-MGP050,False,True
JJS-MGP173,False,True
JJS-MGP182,False,True
JJS-MGP160,False,True
JJS-DIN097,True,True
JJS-DIN243,True,True
JJS-DIN098,True,True
JJS-DIN188,True,True
JJS-DIN173,True,True
JJS-MGP065,False,True
JJS-MGP032,False,True
JJS-MGP129,False,True
JJS-DIN203,True,True
JJS-MGP113,False,True
JJS-MGP095,False,True
JJS-MGP033,False,True
JJS-MGP002,False,True
JJS-DIN047,True,True
JJS-MGP136,False,True
JJS-DIN282,True,True
JJS-MGP179,False,True
JJS-DIN005,True,True
JJS-MGP011,False,True
JJS-MGP168,False,True
JJS-MGP202,False,True
JJS-DIN182,True,True
JJS-MGP134,False,True
JJS-MGP213,False,True
JJS-DIN197,True,True
JJS-DIN217,True,True
JJS-DIN052,True,True
JJS-DIN084,True,True
JJS-MGP101,False,True
JJS-DIN215,True,True
JJS-DIN135,True,True
JJS-DIN236,True,True
JJS-DIN158,True,True
JJS-MGP169,False,True
JJS-DIN209,True,True
JJS-DIN080,True,True
JJS-MGP135,False,True
JJS-MGP171,False,True
JJS-DIN263,False,False
JJS-DIN216,True,True
JJS-DIN138,True,True
JJS-MGP061,False,True
JJS-DIN168,True,True
JJS-MGP203,False,True
JJS-DIN070,True,True
JJS-MGP195,False,True
JJS-MGP106,False,True
JJS-MGP042,False,True
JJS-DIN036,True,True
JJS-DIN101,True,True
