CODE	FORMULA	WEIGHT	SMILES
CHEMBL299097	C21 H21 N5	343.42493	C=CCN1CCN(CC1)c2nc3ccc4ncccc4c3n5cccc25
CHEMBL64727	C20 H18 Cl2 N4 S	417.35471	Clc1ccc(CN2CCN(CC2)c3nc4sccc4n5cccc35)c(Cl)c1
CHEMBL159483	C26 H32 N4 O2	432.55787	O=C1N[C@@H](Cc2ccc3[nH]cc(CCN4CC[C@@H](CNCc5ccccc5)C4)c3c2)CO1
CHEMBL146751	C27 H29 N O4	431.52346	COc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5ccc6ccccc6c5)Oc12
CHEMBL64610	C24 H28 F3 N3 O2	447.49322	CN1C(=O)COc2cc(CCCCN3CCN(CC3)c4cccc(c4)C(F)(F)F)ccc12
CHEMBL14508	C10H12ClFN2O2	210.20494	Cl.Oc1cc(F)c(CC2=NCCN2)cc1O
CHEMBL363328	C27 H29 F2 N O4	469.52026	Fc1ccc(F)c(CC2CCN(CC2)[C@@H]3CC[C@@]4(CC3)OC(=O)c5c6OCCOc6ccc45)c1
CHEMBL15228	C10H11ClN2O2	190.1986	Cl.Oc1ccc(Cc2ncc[nH]2)cc1O
CHEMBL66310	C19 H17 Cl N4 S	368.88308	Clc1ccc(cc1)N2CCN(CC2)c3nc4ccsc4n5cccc35
CHEMBL350637	C17 H20 N4 O	296.3669	CN(C)[C@@H]1C[C@H](C1)c2c[nH]c3ccc(cc23)c4onc(C)n4
CHEMBL63799	C26 H29 F2 N5	449.53876	Fc1cccc(CCC2(F)CCN(CCCc3c[nH]c4ccc(cc34)n5cnnc5)CC2)c1
CHEMBL114303	C28 H36 N6 O	472.62503	CN(Cc1ccccc1C)CC2(O)CCN(CCCc3c[nH]c4ccc(cc34)n5cnnc5)CC2
CHEMBL116161	C26 H38 N6 O	450.61951	CC1(C)CCCN(CC2(O)CCN(CCCc3c[nH]c4ccc(cc34)n5cnnc5)CC2)C1
CHEMBL114877	C27 H34 N6 O	458.59845	CN(Cc1ccccc1)CC2(O)CCN(CCCc3c[nH]c4ccc(cc34)n5cnnc5)CC2
CHEMBL294547	C25 H29 N5	399.53126	C(CN1CCC(Cc2ccccc2)CC1)Cc3c[nH]c4ccc(cc34)n5cnnc5
CHEMBL370110	C25 H28 N6 O S	460.59441	CN1CCc2c(C1)sc3N=CN(CCN4CCN(CC4)c5cncc6ccccc56)C(=O)c23
CHEMBL143951	C18 H24 N6	324.42336	NC1CCN(CCCc2c[nH]c3ccc(cc23)n4cnnc4)CC1
CHEMBL117249	C18 H24 N6	324.42335	CN1CCN(CCCc2c[nH]c3ccc(cc23)n4cnnc4)CC1
CHEMBL81485	C18 H20 N2 O	280.3642	CNCC1CC2N(O1)c3ccccc3Cc4ccccc24
CHEMBL148071	C27 H35 N7 O2 S	521.67749	CS(=O)(=O)NC[C@H](NC1CCN(CCCc2c[nH]c3ccc(cc23)n4cnnc4)CC1)c5ccccc5
CHEMBL88784	C19 H30 N4 O	330.4677	C(CCNCC1CCc2ccccc2O1)CCNC3=NCCCN3
CHEMBL90405	C17 H25 F N4 O	320.405	Fc1ccc2OC(CNCCCNC3=NCCCN3)CCc2c1
CHEMBL22744	C37H46N6O2	606.80014	NC(=O)c1ccc2[nH]cc(C3=CCC(CC3)NCCCCCCCNC4CCC(=CC4)c5c[nH]c6ccc(cc56)C(=O)N)c2c1
CHEMBL335423	C18 H25 N O4	319.39539	COC(=O)C1C2CCC(CC1c3ccc(OC)c(OC)c3)N2C
CHEMBL334923	C14 H17 N3 O S	275.36928	CN(C)CCO\N=C/1\c2cccn2c3c(C)csc13
CHEMBL14651	C10H12ClFN2O2	210.20494	Cl.Oc1cc(CC2=NCCN2)cc(F)c1O
CHEMBL14837	C10H11ClN2O3	206.198	Cl.OC(c1ccc(O)c(O)c1)c2ncc[nH]2
CHEMBL14982	C10H12ClFN2O2	210.20494	Cl.Oc1ccc(CC2=NCCN2)c(F)c1O
CHEMBL1214045	C28H35Cl3N4O	513.50175	Cl.CCCn1c(C)c(cc1c2ccccc2)C(=O)NCCCN3CCN(CC3)c4ccc(Cl)c(Cl)c4
CHEMBL1214176	C31H42N4O	486.69138	CCCn1c(C)c(cc1c2ccccc2)C(=O)N(C)CCCN3CCN(CC3)c4cccc(C)c4C
CHEMBL1214304	C28H35Cl3N4O	513.50175	Cl.CCCn1c(C)c(C(=O)NCCN2CCN(CC2)c3cccc(Cl)c3Cl)c(C)c1c4ccccc4
CHEMBL1214305	C26H31Cl3N4O	485.44859	Cl.Cc1[nH]c(c(C)c1C(=O)NCCCN2CCN(CC2)c3cccc(Cl)c3Cl)c4ccccc4
CHEMBL1214366	C27H34Cl2N4O	465.03011	Cl.Cc1cccc(N2CCN(CCCNC(=O)c3cc([nH]c3C)c4ccc(Cl)cc4)CC2)c1C
CHEMBL1214545	C27H34Cl3N5O	514.48981	Cl.CCCn1c(C)c(cc1c2ccccn2)C(=O)NCCCN3CCN(CC3)c4cccc(Cl)c4Cl
CHEMBL1213933	C26H31FN4O	434.54894	Cc1c(cc(c2ccccc2)n1C)C(=O)NCCCN3CCN(CC3)c4ccc(F)cc4
CHEMBL569475	C23H25BrClN5O2	518.8339	Cn1ncc(Br)c1c2cc(NC(=O)Nc3ccc(Cl)cc3)ccc2OCCN4CCCC4
CHEMBL436513	C18 H23 F2 N3	319.39212	CC(C)(NC1=NCCNC(=C1)c2ccc(F)cc2F)C3CCC3
CHEMBL384160	C23 H28 N4 O	376.49462	CC(C)CN1CCC2(CC1)Oc3ccccc3C4CC(=NN24)c5ccncc5
CHEMBL472416	C26H25N3O	395.4962	Cn1c(nc2ccccc12)C3CCN(CC3)C(=O)c4ccc(cc4)c5ccccc5
CHEMBL21343	C19H23N3O	309.40541	CCN(CC)C(=O)[C@H]1CN[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34
CHEMBL493	C32H40BrN5O5	654.5945	CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C
CHEMBL1909072	C21H24ClN3OS	401.95275	NC(=O)C1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1
CHEMBL214554	C23 H26 F N3 O	379.47044	CCCN1CCC2(CC1)Oc3ccccc3C4CC(=NN24)c5ccc(F)cc5
CHEMBL6616	C11H16INO2	321.15471	COc1cc(CC(C)N)c(OC)cc1I
CHEMBL54720	C20H20N4S	348.46459	C(N1CCN(CC1)c2nc3ccsc3n4cccc24)c5ccccc5
CHEMBL53485	C14 H18 N6	270.33292	CN(C)CCc1c[nH]c2ccc(Cn3cnnn3)cc12
CHEMBL300209	C14 H18 N6	270.33292	CN(C)CCc1c[nH]c2ccc(Cc3nn[nH]n3)cc12
CHEMBL493625	C21H26F3N3O3S	457.50964	COc1ccc(cc1)S(=O)(=O)NCCCN2CCN(CC2)c3cccc(c3)C(F)(F)F
CHEMBL600012	C30H39N3O2S	505.71455	O=S(=O)(N(CCCN1CCN(CC1)c2ccccc2)CC3CCCCC3)c4ccc5ccccc5c4
CHEMBL604952	C29H36Cl2N4O2S	575.59273	Clc1ccc(cc1Cl)N2CCN(CCCN(CC3CCCCC3)S(=O)(=O)c4cccc5cccnc45)CC2
CHEMBL65413	C20 H18 Cl2 N4 S	417.35471	Clc1ccc(CN2CCN(CC2)c3nc4sccc4n5cccc35)cc1Cl
CHEMBL143489	C16 H19 N3 O S	301.40655	Cc1csc2\C(=N/OCCN3CCCC3)\c4cccn4c12
CHEMBL54125	C22 H21 F N4	360.42734	Fc1ccc(CN2CCN(CC2)c3nc4ccccc4n5cccc35)cc1
CHEMBL1278087	C26H30N6O	442.556	Cc1cccc2C(=O)N(N)C(=Nc12)CCCCN3CCN(CC3)c4ccc5ccccc5n4
CHEMBL342833	C21 H23 N3 O S	365.49181	CN(CCCO\N=C/1\c2cccn2c3c(C)csc13)Cc4ccccc4
CHEMBL140856	C15 H16 Cl N3 O	289.76003	CN(C)CCO\N=C\1/c2cc(Cl)ccc2n3cccc13
CHEMBL314107	C19 H20 F2 N2 O	330.3717	CN(C)CC1CC2N(O1)c3cc(F)ccc3Cc4ccc(F)cc24
CHEMBL244561	C41 H47 N4 O2 . Br	627.83747	[Br-].C=CC[N+]12CC[C@H]3[C@@H]1C[C@@H]4[C@H]5[C@@H](OCC=C4C2)N6[C@H]7[C@H]8[C@H]9C[C@@H]%10N(CC[C@]7%10c%11ccccc6%11)CC9=CCO[C@H]8N([C@H]35)c%12ccccc%12
CHEMBL300725	C22 H23 N5 O	373.45092	COc1ccc2nc(N3CCN(Cc4ccccc4)CC3)c5cccn5c2n1
CHEMBL388212	C38 H42 N4 O2	586.76567	C1CN2CC3=CCO[C@@H]4[C@@H]5[C@H]3C[C@H]2[C@H]1[C@H]5N([C@@H]6OCC=C7CN8CC[C@@]9%10[C@@H]8C[C@@H]7[C@@H]6[C@@H]9N4c%11ccccc%10%11)c%12ccccc%12
CHEMBL6437	C18H20N2	264.3648	CN1CCN2C(C1)c3ccccc3Cc4ccccc24
