TARGET	COMPOUND	DESC
P08908	CHEMBL299097	Binding affinity against 5-hydroxytryptamine 1A receptor was measured using [3H]8-OH-DPAT as radioligand
P08908	CHEMBL64727	Binding affinity for 5-hydroxytryptamine 1A receptor
P08908	CHEMBL159483	Affinity of compound towards 5-hydroxytryptamine 1A receptor was evaluated using radioligand binding technique
P08908	CHEMBL146751	Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by [35S]GTP-gamma-S, stimulated cAMP assay
P08908	CHEMBL64610	Affinity towards 5-hydroxytryptamine 1A receptor in membranes from bovine hippocampus using [3H]OH-DPAT
P08908	CHEMBL14508	Stimulatory activity against serotonin secretion (SEC).
P08908	CHEMBL363328	Inhibitory activity against 5-hydroxytryptamine receptor 1A using (+/-)-[3H]-8-hydroxydipropylaminotetralin
P08908	CHEMBL15228	Inhibition of U-46,619 by the compound in response of SEC
P08908	CHEMBL66310	Binding affinity for 5-hydroxytryptamine 1A receptor
P08908	CHEMBL15228	Inhibition of ADP by the compound in response of SEC
P08908	CHEMBL15228	Inhibition of AA+phentolamine by the compound in response of SEC
P28222	CHEMBL350637	Binding affinity in CHO-K1 cells transfected with human recombinant 5-hydroxytryptamine 1B receptor
P28222	CHEMBL14508	Stimulatory activity against serotonin secretion (SEC).
P28222	CHEMBL63799	Displacement of specific [3H]5-HT binding to cloned human 5-hydroxytryptamine 1B receptor expressed in CHO cells
P28222	CHEMBL114303	Ability to displace [3H]5-HT from recombinant human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells determined in vitro
P28222	CHEMBL116161	Ability to displace [3H]5-HT from recombinant human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells determined in vitro
P28222	CHEMBL114877	Ability to displace [3H]5-HT from recombinant human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells determined in vitro
P28222	CHEMBL294547	Displacement of specific [3H]5-HT binding to cloned human 5-hydroxytryptamine 1B receptor expressed in CHO cells
P28222	CHEMBL370110	Inhibitory activity against human recombinant 5HT1B receptor co-expressed with G-protein chimera Gqo5 in HEK293 cells by FLIPR
P28222	CHEMBL15228	Inhibition of U-46,619 by the compound in response of SEC
P28222	CHEMBL15228	Inhibition of ADP by the compound in response of SEC
P28222	CHEMBL15228	Inhibition of AA+phentolamine by the compound in response of SEC
