1	96_WELLS_8X12	2008-11-05 09:18:00.622+01	1	1	\N	\N	1
2	384_WELLS_16X24	2008-11-05 09:18:00.622+01	1	1	\N	\N	2
3	1536_WELLS_32X48	2008-11-05 09:18:00.622+01	1	1	\N	\N	3
4	PROPRIETARY	2008-11-05 09:18:00.622+01	2	1	\N	\N	1
5	BDS_DIRECTORY	2008-11-05 09:18:00.622+01	2	1	\N	\N	2
6	RAT	2008-11-05 09:18:30.327+01	3	2	\N	\N	1
7	DOG	2008-11-05 09:18:30.327+01	3	2	\N	\N	2
8	HUMAN	2008-11-05 09:18:30.327+01	3	2	\N	\N	3
9	GORILLA	2008-11-05 09:18:30.327+01	3	2	\N	\N	4
10	FLY	2008-11-05 09:18:30.327+01	3	2	\N	\N	5
11	MALE	2008-11-05 09:18:30.421+01	4	2	\N	\N	1
12	FEMALE	2008-11-05 09:18:30.421+01	4	2	\N	\N	2
13	MAN	2008-11-05 09:18:30.983+01	5	2	\N	\N	1
14	WOMAN	2008-11-05 09:18:30.983+01	5	2	\N	\N	2
15	CHILD	2008-11-05 09:18:31.061+01	5	2	\N	\N	3
