1	VIRUS	Virus	1	2009-03-23 15:34:44.462776+01	\N
2	CELL_LINE	Cell Line or Cell Culture. The growing of cells under controlled conditions.	1	2009-03-23 15:34:44.462776+01	\N
3	GENE	Gene	1	2009-03-23 15:34:44.462776+01	\N
5	CONTROL	Control of a control layout	1	2009-03-23 15:34:44.462776+01	5
6	BACTERIUM	Bacterium	1	2009-03-23 15:34:44.462776+01	\N
7	COMPOUND	Compound	1	2009-03-23 15:34:44.462776+01	\N
4	SIRNA	Oligo nucleotide	1	2009-03-23 15:34:44.462776+01	\N
8	SELF_REF	Self Referencing Material	1	2012-03-13 15:34:44.462776+01	\N
9	SLOW_GENE	Slowly validating material	1	2009-03-23 15:34:44.462776+01	10
10	OTHER_REF	 Material Referencing Other Material	1	2012-03-13 15:34:44.462776+01	\N
