FWHM by Color and Cycle
Run name: 120420_SN792_0109_BC0P8LACXX
Instrument name: BS-DSFCONTROL03
Run Started: Sunday, April 22, 2012 2:16 PM
Maximum number of cycles: 57
Input Directory: E:\Illumina\HiSeqTemp\120420_SN792_0109_BC0P8LACXX
Output Directory: Y:\120420_SN792_0109_BC0P8LACXX
Total number of reads: 2
Number of lanes: 8
Number of tiles per lane: 96
Color	Cycle	Lane	Tile	FWHM
1	1	1	1101	2.962493
1	1	1	1102	2.968336
1	1	1	1103	2.925934
1	1	1	1104	2.907949
1	1	1	1105	2.8873
1	1	1	1106	2.854764
1	1	1	1107	2.884979
1	1	1	1108	2.843612
1	1	1	1109	2.838748
1	1	1	1110	2.807942
1	1	1	1111	2.787764
1	1	1	1112	2.777218
1	1	1	1113	2.763052
1	1	1	1114	2.726711
1	1	1	1115	2.746501
1	1	1	1116	2.702226
1	1	1	1201	3.03062
1	1	1	1202	3.037142
1	1	1	1203	3.017249
1	1	1	1204	2.992471
1	1	1	1205	2.969984
1	1	1	1206	2.956957
1	1	1	1207	2.9369
1	1	1	1208	2.919028
1	1	1	1209	2.879961
1	1	1	1210	2.873935
1	1	1	1211	2.849738
1	1	1	1212	2.830887
1	1	1	1213	2.808453
1	1	1	1214	2.769705
1	1	1	1215	2.77184
1	1	1	1216	2.746042
1	1	1	1301	3.016201
1	1	1	1302	2.987125
1	1	1	1303	2.987219
1	1	1	1304	2.968026
1	1	1	1305	2.936493
1	1	1	1306	2.905324
1	1	1	1307	2.921897
1	1	1	1308	2.888409
1	1	1	1309	2.866348
1	1	1	1310	2.854398
1	1	1	1311	2.840772
1	1	1	1312	2.796978
1	1	1	1313	2.785213
1	1	1	1314	2.763214
1	1	1	1315	2.7125
1	1	1	1316	2.740096
1	1	1	2101	2.991724
1	1	1	2102	2.995553
1	1	1	2103	2.95045
1	1	1	2104	2.928912
1	1	1	2105	2.927236
1	1	1	2106	2.928557
1	1	1	2107	2.884458
1	1	1	2108	2.871554
1	1	1	2109	2.884169
1	1	1	2110	2.843678
1	1	1	2111	2.830652
1	1	1	2112	2.80422
1	1	1	2113	2.785833
1	1	1	2114	2.738427
1	1	1	2115	2.729369
1	1	1	2116	2.701643
1	1	1	2201	3.027708
1	1	1	2202	3.027845
1	1	1	2203	2.989097
1	1	1	2204	2.975939
1	1	1	2205	2.964422
1	1	1	2206	2.945038
1	1	1	2207	2.921671
1	1	1	2208	2.909672
1	1	1	2209	2.887948
1	1	1	2210	2.885406
1	1	1	2211	2.85369
1	1	1	2212	2.83657
1	1	1	2213	2.812378
1	1	1	2214	2.78816
1	1	1	2215	2.779355
1	1	1	2216	2.760883
1	1	1	2301	3.045937
1	1	1	2302	3.043567
1	1	1	2303	3.010217
1	1	1	2304	2.990255
1	1	1	2305	2.955386
1	1	1	2306	2.961337
1	1	1	2307	2.958516
1	1	1	2308	2.910024
1	1	1	2309	2.893923
1	1	1	2310	2.886768
1	1	1	2311	2.872848
1	1	1	2312	2.847319
1	1	1	2313	2.807411
1	1	1	2314	2.767775
1	1	1	2315	2.73251
1	1	1	2316	2.734471
1	1	2	1101	2.860802
1	1	2	1102	2.843075
1	1	2	1103	2.818
1	1	2	1104	2.82406
1	1	2	1105	2.82426
1	1	2	1106	2.831893
1	1	2	1107	2.843451
1	1	2	1108	2.818074
1	1	2	1109	2.798158
1	1	2	1110	2.787673
1	1	2	1111	2.780866
1	1	2	1112	2.770686
1	1	2	1113	2.74733
1	1	2	1114	2.715579
1	1	2	1115	2.714996
1	1	2	1116	2.69253
1	1	2	1201	2.86212
1	1	2	1202	2.847319
1	1	2	1203	2.828787
1	1	2	1204	2.826387
1	1	2	1205	2.830475
1	1	2	1206	2.839952
1	1	2	1207	2.819293
1	1	2	1208	2.840694
1	1	2	1209	2.812118
1	1	2	1210	2.791102
1	1	2	1211	2.795913
1	1	2	1212	2.762138
1	1	2	1213	2.748121
1	1	2	1214	2.735503
1	1	2	1215	2.687894
1	1	2	1216	2.676146
1	1	2	1301	2.870137
1	1	2	1302	2.851882
1	1	2	1303	2.855739
1	1	2	1304	2.84892
1	1	2	1305	2.847924
1	1	2	1306	2.832572
1	1	2	1307	2.82296
1	1	2	1308	2.815501
1	1	2	1309	2.797602
1	1	2	1310	2.781242
1	1	2	1311	2.77049
1	1	2	1312	2.779083
1	1	2	1313	2.744237
1	1	2	1314	2.746518
1	1	2	1315	2.721944
1	1	2	1316	2.698678
1	1	2	2101	2.8504
1	1	2	2102	2.848003
1	1	2	2103	2.818192
1	1	2	2104	2.800957
1	1	2	2105	2.802774
1	1	2	2106	2.786786
1	1	2	2107	2.780662
1	1	2	2108	2.759374
1	1	2	2109	2.772881
1	1	2	2110	2.739893
1	1	2	2111	2.770357
1	1	2	2112	2.724878
1	1	2	2113	2.725366
1	1	2	2114	2.756225
1	1	2	2115	2.728666
1	1	2	2116	2.703996
1	1	2	2201	2.801821
1	1	2	2202	2.785034
1	1	2	2203	2.760373
1	1	2	2204	2.776042
1	1	2	2205	2.773922
1	1	2	2206	2.753828
1	1	2	2207	2.755526
1	1	2	2208	2.739691
1	1	2	2209	2.732147
1	1	2	2210	2.703215
1	1	2	2211	2.719305
1	1	2	2212	2.694628
1	1	2	2213	2.705095
1	1	2	2214	2.740863
1	1	2	2215	2.710969
1	1	2	2216	2.677735
1	1	2	2301	2.836821
1	1	2	2302	2.839164
1	1	2	2303	2.816449
1	1	2	2304	2.828293
1	1	2	2305	2.813232
1	1	2	2306	2.798735
1	1	2	2307	2.771845
1	1	2	2308	2.75665
1	1	2	2309	2.766647
1	1	2	2310	2.762727
1	1	2	2311	2.770503
1	1	2	2312	2.727957
1	1	2	2313	2.723191
1	1	2	2314	2.738266
1	1	2	2315	2.739656
1	1	2	2316	2.712687
1	1	3	1101	2.977462
1	1	3	1102	2.974671
1	1	3	1103	2.951139
1	1	3	1104	2.956486
1	1	3	1105	2.928999
1	1	3	1106	2.928229
1	1	3	1107	2.895008
1	1	3	1108	2.905408
1	1	3	1109	2.876897
1	1	3	1110	2.856374
1	1	3	1111	2.858702
1	1	3	1112	2.826086
1	1	3	1113	2.798446
1	1	3	1114	2.759696
1	1	3	1115	2.718893
1	1	3	1116	2.691386
1	1	3	1201	3.038245
1	1	3	1202	3.011896
1	1	3	1203	2.997827
1	1	3	1204	2.993196
1	1	3	1205	2.995154
1	1	3	1206	2.948088
1	1	3	1207	3.001962
1	1	3	1208	2.920516
1	1	3	1209	2.918801
1	1	3	1210	2.878752
1	1	3	1211	2.864098
1	1	3	1212	2.835988
1	1	3	1213	2.809957
1	1	3	1214	2.774536
1	1	3	1215	2.737081
1	1	3	1216	2.708018
1	1	3	1301	3.008642
1	1	3	1302	2.988505
1	1	3	1303	2.974921
1	1	3	1304	2.95807
1	1	3	1305	2.937999
1	1	3	1306	2.943062
1	1	3	1307	2.939806
1	1	3	1308	2.90088
1	1	3	1309	2.85829
1	1	3	1310	2.86379
1	1	3	1311	2.861845
1	1	3	1312	2.828189
1	1	3	1313	2.78666
1	1	3	1314	2.757549
1	1	3	1315	2.740337
1	1	3	1316	2.710851
1	1	3	2101	2.982821
1	1	3	2102	3.005634
1	1	3	2103	2.977062
1	1	3	2104	2.971571
1	1	3	2105	2.960897
1	1	3	2106	2.928071
1	1	3	2107	2.919018
1	1	3	2108	2.90532
1	1	3	2109	2.882589
1	1	3	2110	2.8578
1	1	3	2111	2.854733
1	1	3	2112	2.800345
1	1	3	2113	2.791846
1	1	3	2114	2.786676
1	1	3	2115	2.753779
1	1	3	2116	2.708531
1	1	3	2201	2.972156
1	1	3	2202	2.990281
1	1	3	2203	2.937527
1	1	3	2204	2.955782
1	1	3	2205	2.954867
1	1	3	2206	2.92743
1	1	3	2207	2.932704
1	1	3	2208	2.87838
1	1	3	2209	2.859937
1	1	3	2210	2.849459
1	1	3	2211	2.823798
1	1	3	2212	2.801038
1	1	3	2213	2.781469
1	1	3	2214	2.783404
1	1	3	2215	2.781813
1	1	3	2216	2.727832
