Code	Parents	Parent plasmid
PKW1		
PKW10		
PKW100		pJG4-5
PKW1000		
PKW1001		
PKW1002		
PKW1003		
PKW1004		pKW 966
PKW1005		pKW 966
PKW1006		pKW 966
PKW1007		
PKW1008		pKW710
PKW1009		pKW656
PKW101		pJG4-5
PKW1010		pKW710
PKW1011		pKW656
PKW1012		pKW927
PKW1013		pKW929
PKW1014		pKW999 (pPW66R)
PKW1015		pKW999 (pPW66R)
PKW1016	/MATERIALS/US386 /MATERIALS/US605	pKW347
PKW1017		pRS313
PKW1018		pRS313
PKW1019		pRS313
PKW102		pJG4-5
PKW1020		pRS313
PKW1021		pRS313
PKW1022		pRS313
PKW1023		
PKW1024		pKW786 (pRS404)
PKW1025		
PKW1026		pKW345
PKW1027		pKW345
PKW1028		
PKW1029		
PKW103		pJG4-5
PKW1030		
PKW1031		
PKW1032		pKW345
PKW1033		pKW708 - pRS404
PKW1034		
PKW1035		
PKW1036		
PKW1037		
PKW1038		
PKW1039		
PKW104		pJG4-5
PKW1040		
PKW1041		
PKW1042		
PKW1043		
PKW1044		
PKW1045		
PKW1046		pKW343
PKW1047		pKW344
PKW1048		pKW1046
PKW1049		pKW1047
PKW105		pJG4-5
PKW1050		pKW1032
PKW1051		pRS305 (EBO 1107)
PKW1052		pKW625
PKW1053		pKW625
PKW1054		
PKW1055		
PKW1056		
PKW1057		
PKW1058		
PKW1059		
PKW106		pJG4-5
PKW1060		pKW1052
PKW1061		
PKW1062		
PKW1063		
PKW1064		pKW1048
PKW1065		pKW1049
PKW1066		pKW1050
PKW1067		pKW1048
PKW1068		pKW1049
PKW1069		pKW1050
PKW107		pJG4-5
PKW1070		
PKW1071		
PKW1072		
PKW1073		
PKW1074		
PKW1075		
PKW1076		
PKW1077		
PKW1078	/MATERIALS/US328 /MATERIALS/US704	pKW618
PKW1079		
PKW108		pJG4-5
PKW1080		
PKW1081		
PKW1082	/MATERIALS/US661 /MATERIALS/US662	pKW1081/DP3570
PKW1083	/MATERIALS/US648 /MATERIALS/US649	pKW1081?DP3570
PKW1084		pKW1085
PKW1085		
PKW1086		
PKW1087		
PKW1088		pRS313
PKW1089		pRS313
PKW109		pJG4-5
PKW1090		pRS313
PKW1091		pRS313
PKW1092		pRS313
PKW1093		pRS313
PKW1094		pRS313
PKW1095		pRS313
PKW1096		pRS313
PKW1097		pRS313
PKW1098		pRS313
PKW1099		pRS313
PKW11		pGEM7
PKW110		pJG4-5
PKW1100		pRS313
PKW1101		pRS313
PKW1102		pKW1064
PKW1103		pKW1065
PKW1104		pKW1066
PKW1105		pKW1067
PKW1106		pKW1068
PKW1107		pKW1069
PKW1108		pKW788 (pRS406)
PKW1109	/MATERIALS/US761 /MATERIALS/US762	pKW 966
PKW111		pJG4-5
PKW1110	/MATERIALS/US755 /MATERIALS/US756	pKW 966
PKW1111	/MATERIALS/US755 /MATERIALS/US756	pKW 966
PKW1112		pKW 970
PKW1113		pKW 970
PKW1114		pKW617
PKW1115		pKW346
PKW1116		pKW617
PKW1117	/MATERIALS/US786 /MATERIALS/US787	pKW 966
PKW1118	/MATERIALS/US786 /MATERIALS/US787	pKW 966
PKW1119	/MATERIALS/US1002 /MATERIALS/US776	pKW 1270
PKW112		pJG4-5
PKW1120		pKW 1112
PKW1121		pKW 1120
PKW1122		pKW 1120
PKW1123		pKW 617
PKW1124		pKW 621
PKW1125		pKW 980
PKW1126		pKW 617
PKW1127		
PKW1128		pCMV4-3HA
PKW1129		
PKW113		pJG4-5
PKW1130		
PKW1131		
PKW1132		
PKW1133		
PKW1134		pKW 1131
PKW1135		pKW 1131
PKW1136		pKW 1131
PKW1137		pKW 1131
PKW1138		pKW 1131
PKW1139		pEGFP-C1
PKW114		pJG4-5
PKW1140		pAS147
PKW1141	/MATERIALS/US607 /MATERIALS/US777	pKW350
PKW1142	/MATERIALS/US789 /MATERIALS/US790	pKW1125
PKW1143		pKW1125
PKW1144		pKW346
PKW1145		
PKW1146		
PKW1147		
PKW1148		
PKW1149		pKW1142
PKW115		pJG4-5
PKW1150		pKW617
PKW1151		pKW 621
PKW1152		
PKW1153		pKW1152
PKW1154		pKW1113
PKW1155		pKW 1059 (pPD49.78)
PKW1156	/MATERIALS/US800 /MATERIALS/US801	pKW 966
PKW1157		pKW 1153
PKW1158		pKW 1153
PKW1159		
PKW116		pJG4-5
PKW1160	/MATERIALS/US814 /MATERIALS/US815	pKW 966
PKW1161		
PKW1162	/MATERIALS/US803 /MATERIALS/US804	pKW409
PKW1163	/MATERIALS/US803 /MATERIALS/US804	pKW409
PKW1164		pKW1163
PKW1165	/MATERIALS/US817 /MATERIALS/US818	pKW999
PKW1166		pKW983
PKW1167		pKW983
PKW1168		pKW415 (pRS416-PGAL)
PKW1169		pKW415 (pRS416-PGAL)
PKW117		pJG4-5
PKW1170		
PKW1171		
PKW1172		
PKW1173		
PKW1174		pCDNA3
PKW1175		pKW347
PKW1176		pKW348
PKW1177		pKW349
PKW1178		pKW1052
PKW1179	/MATERIALS/US856 /MATERIALS/US857	pKW1168
PKW118		pJG4-5
PKW1180	/MATERIALS/US856 /MATERIALS/US857	pKW1169
PKW1181		
PKW1182		
PKW1183		
PKW1184	/MATERIALS/US856 /MATERIALS/US898	pKW1168
PKW1185	/MATERIALS/US856 /MATERIALS/US898	pKW1169
PKW1186	/MATERIALS/US856 /MATERIALS/US898	pKW673
PKW1187	/MATERIALS/US856 /MATERIALS/US898	pKW674
PKW1188		pKW832
PKW1189	/MATERIALS/US919 /MATERIALS/US920	pKW786
PKW119		pJG4-5
PKW1190	/MATERIALS/US919 /MATERIALS/US920	pKW788
PKW1191		pKW786
PKW1192	/MATERIALS/US851 /MATERIALS/US923	pKW788
PKW1193		pKW351
PKW1194		pKW352
PKW1195		pKW353
PKW1196		pKW351
PKW1197		pKW352
PKW1198		pKW353
PKW1199		pKW351
PKW12		
PKW120		pJG4-5
PKW1200		pKW352
PKW1201		pKW353
PKW1202		pKW351
PKW1203		pKW352
PKW1204		pKW353
PKW1205		pKW351
PKW1206		pKW352
PKW1207		pKW353
PKW1208		pKW351
PKW1209		pKW352
PKW121		pJG4-5
PKW1210		pKW353
PKW1211		pKW351
PKW1212		pKW352
PKW1213		pKW353
PKW1214		pKW351
PKW1215		pKW352
PKW1216		pKW353
PKW1217		pKW351
PKW1218		pKW352
PKW1219		pKW353
PKW122		pJG4-5
PKW1220		pKW347
PKW1221		pKW348
PKW1222		pKW966
PKW1223		pKW987
PKW1224		pKW966
PKW1225		
PKW1226		
PKW1227		
PKW1228		pKW1151
PKW1229	/MATERIALS/US946 /MATERIALS/US947	pKW970
PKW123		pJG4-5
PKW1230		pKW1224
PKW1231		pKW1151
PKW1232		pKW1151
PKW1233		pKW1229
PKW1234		pKW970
PKW1235		pKW1244
PKW1236		pKW1244
PKW1237		
PKW1238		
PKW1239		
PKW124		pJG4-5
PKW1240		
PKW1241		
PKW1242		
PKW1243		
PKW1244		
PKW1245		
PKW1246		
PKW1247		
PKW1248		pKW1229
PKW1249		pKW1233
PKW125		pJG4-5
PKW1250		
PKW1251	/MATERIALS/US530 /MATERIALS/US814	pKW1249
PKW1252	/MATERIALS/US529 /MATERIALS/US815	pKW 1249
PKW1253	/MATERIALS/US913 /MATERIALS/US914	pKW1249
PKW1254	/MATERIALS/US915 /MATERIALS/US916	pKW1249
PKW1255		pKW999
PKW1256		pKW999
PKW1257		pKW1152
PKW1258		
PKW1259		
PKW126		pJG4-5
PKW1260		
PKW1261		
PKW1262		
PKW1263		
PKW1264		
PKW1265	/MATERIALS/US998 /MATERIALS/US999	pKW966
PKW1266	/MATERIALS/US997 /MATERIALS/US998	pKW1229
PKW1267	/MATERIALS/US1000 /MATERIALS/US999	pKW1229
PKW1268	/MATERIALS/US1000 /MATERIALS/US1001	pKW1229
PKW1269	/MATERIALS/US998 /MATERIALS/US999	pKW1229
PKW127		pJG4-5
PKW1270		pKW970
PKW1271		
PKW1272		pKW1255
PKW1273		pKW1256
PKW1274		pKW1257
PKW1275		pKW1257
PKW1276		pKW1270
PKW1277	/MATERIALS/US1011	
PKW1278	/MATERIALS/US1012	
PKW1279		pKW1270
PKW128		pJG4-5
PKW1280		pKW1270
PKW1281		pKW1113
PKW1282		pKW1270
PKW1283		
PKW1284		
PKW1285		
PKW1286		
PKW1287		
PKW1288		
PKW1289		pKW1276
PKW129		pJG4-5
PKW1290		pKW 762
PKW1291		pKW903
PKW1292		
PKW1293		
PKW1294		
PKW1295		
PKW1296		1113
PKW1297		pKW1296
PKW1298		pKW13
PKW1299		pKW13
PKW13		pSG6
PKW130		pJG4-5
PKW1300		
PKW1301		pKW1296
PKW1302		pKW1297
PKW1303		pKW1297
PKW1304		pKW1300
PKW1305		pKW1300
PKW1306		pKW1300
PKW1307		pKW1300
PKW1308		pKW1300
PKW1309		pKW1029 - YCpRPL25-Flag
PKW131		pJG4-5
PKW1310	/MATERIALS/US1057 /MATERIALS/US1058	pKW503 - pBluescript II KS
PKW1311		pRS315
PKW1312		
PKW1313	/MATERIALS/US1060 /MATERIALS/US1061	pKW1310 - pBS RRP6
PKW1314		pEG202
PKW1315		pEG202
PKW1316		pJG4-5
PKW1317		pJG4-5
PKW1318		pJG4-5
PKW1319		pJG4-5
PKW132		pJG4-5
PKW1320		pEG202
PKW1321		pSV271
PKW1322		pSV272
PKW1323		pSV271
PKW1324		pSV272
PKW1325		pSV271
PKW1326		pSV272
PKW1327		pKW1336
PKW1328		pKW1337
PKW1329		pSV271
PKW133		pJG4-5
PKW1330		pSV272
PKW1331		pSV271
PKW1332		pSV272
PKW1333		pKW657
PKW1334		pKW657
PKW1335		pKW657
PKW1336		pKW657
PKW1337		pKW657
PKW1338		pKW657
PKW1339		pKW657
PKW134		pJG4-5
PKW1340		pKW1557
PKW1341		
PKW1342		
PKW1343		
PKW1344		
PKW1345		pKW1272
PKW1346		pKW1272
PKW1347		pKW1329
PKW1348		pKW1330
PKW1349		pKW1331
PKW135		pJG4-5
PKW1350		pKW1332
PKW1351		pKW1336
PKW1352		pKW1337
PKW1353		pKW1341
PKW1354		pKW1319
PKW1355		pKW1249
PKW1356		pKW1249
PKW1357		YIplac211
PKW1358		YIplac204
PKW1359		pKW1220
PKW136		pJG4-5
PKW1360		pKW709
PKW1361	/MATERIALS/US1071 /MATERIALS/US803	pKW1162
PKW1362	/MATERIALS/US1072 /MATERIALS/US803	pKW1162
PKW1363	/MATERIALS/US1073 /MATERIALS/US803	pKW1162
PKW1364	/MATERIALS/US803 /MATERIALS/US804	pKW1162
PKW1365	/MATERIALS/US803 /MATERIALS/US804	pKW1162
PKW1366		pKW1220
PKW1367		pKW708 - pRS304
PKW1368		pKW1273
PKW1369		pKW1272
PKW137		pJG4-5
PKW1370		pKW1273
PKW1371		pKW1272
PKW1372		pKW1273
PKW1373		pKW 966
PKW1374	/MATERIALS/US1129 /MATERIALS/US1130	pET p97 (pKW485)
PKW1375	/MATERIALS/US1129 /MATERIALS/US1130	pET-p97[1-601] (pKW 747)
PKW1376		pKW1359
PKW1377		
PKW1378		
PKW1379		
PKW138		pJG4-5
PKW1380		pKW657 - pGEX 4T-1
PKW1381	/MATERIALS/US102 /MATERIALS/US1158	pKW1373
PKW1382	/MATERIALS/US102 /MATERIALS/US1159	pKW1373
PKW1383		pKW503
PKW1384		pKW503 - pBluescript II KS+
PKW1385	/MATERIALS/US1137 /MATERIALS/US1138	pKW354
PKW1386		
PKW1387		
PKW1388		
PKW1389		
PKW139		pJG4-5
PKW1390		
PKW1391		
PKW1392		
PKW1393		
PKW1394		
PKW1395		
PKW1396		
PKW1397		pKW868
PKW1398		
PKW1399		
PKW14		pSG8
PKW140		pJG4-5
PKW1400		
PKW1401		
PKW1402		
PKW1403		
PKW1404		
PKW1405		
PKW1406		
PKW1407		pKW926
PKW1408		pKW349
PKW1409		pKW928
PKW141		pJG4-5
PKW1410		pKW348
PKW1411	/MATERIALS/US1092 /MATERIALS/US1138	pKW345 - pRS315(G)
PKW1412	/MATERIALS/US1092 /MATERIALS/US1099	pKW345 - pRS315(G)
PKW1413	/MATERIALS/US1099 /MATERIALS/US1211	pKW345 - pRS315(G)
