col-num,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
B,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
D,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
E,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
F,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
G,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
H,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
J,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
L,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
M,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
O,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
P,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
 , , , , , , , , , , , , , , , , , , , , , , , , 
MeanArea_Bacteria,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,208.976,252.5538,270.7669,256.7497,266.9703,246.1031,242.3592,264.3957,262.7605,217.4573,229.2538,227.8823,222.6004,250.2285,252.6618,247.7708,236.4549,238.3267,244.652,239.0529,289.8515,249.421,233.9852,236.6144
B,235.3776,231.2008,273.0718,256.9222,323.805,251.2825,263.3715,332.7041,258.4018,202.0812,274.4861,240.1358,287.1176,300.4064,283.9351,259.1389,289.7765,243.8761,222.7451,240.7621,261.7936,224.5634,259.2406,216.5392
C,82.9583,230.5423,299.0224,320.9924,280.5561,237.9832,245.6946,229.4525,315.633,280.7908,244.0656,226.1156,262.4802,307.4386,291.8106,269.4216,192.4892,245.3468,276.2869,247.8864,276.9276,193.0551,223.7342,253.3388
D,216.9281,254.0202,186.8758,223.4675,281.989,251.6704,295.854,266.6551,235.4858,232.5215,342.2326,255.2213,270.5561,261.446,240.3281,278.6583,190.8869,234.5626,269.627,245.513,249.2305,211.529,227.6051,246.8088
E,256.2659,247.227,298.4491,278.8112,261.4847,216.329,300.8002,220.9729,269.6892,219.282,235.7247,310.4915,287.6597,269.0892,249.5378,303.0623,303.8017,270.6629,257.9969,276.146,221.5104,256.7972,317.887,247.89
F,246.52,235.7577,301.0667,203.4608,279.105,328.1527,272.3613,249.4408,211.5495,239.7361,272.829,303.3105,234.4974,320.4449,271.627,301.354,236.0098,236.213,210.5547,225.3962,257.6875,253.1985,247.1665,252.6778
