Filename,AcquiredDate,ApplicationName,ApplicationVersion,Camera Bit Depth,Experiment base name,Experiment set,ExposureTime,Frames to Average,Gain,ImageXpress Micro Filter Cube,ImageXpress Micro Objective,Laser focus score,PhysicalSizeX,PhysicalSizeY,PositionX,PositionY,PositionZ,Shading,SizeX,SizeY,SizeZ,Subtract,Temperature,camera-binning-x,camera-binning-y,camera-chip-offset-x,camera-chip-offset-y,gamma,spatial-calibration-state,spatial-calibration-units,stage-label,wavelength
bKB03-2B-1297191313_wA01_s1_z1_t1_cCy3_u001.tif,20110208 18:56:20.271,MetaMorph,3.1.0.79,12,SM110208,SM110208,82 ms,1,Gain 1 (1x),Texas Red,10X S Fluor,38.2753,0.645,0.645,44384.1,1738.44,11087.3,Off,1392,1040,1,Off,-29.95,1,1,0,0,1,on,um,A01 : Site 1,624
bKB03-2B-1297191313_wA01_s1_z1_t1_cDAPI_u001.tif,20110208 18:56:19.206,MetaMorph,3.1.0.79,12,SM110208,SM110208,4 ms,1,Gain 1 (1x),DAPI,10X S Fluor,38.2753,0.645,0.645,44384.1,1738.44,11084.2,Off,1392,1040,1,Off,-29.95,1,1,0,0,1,on,um,A01 : Site 1,447
bKB03-2B-1297191313_wA01_s1_z1_t1_cGFP_u001.tif,20110208 18:56:21.111,MetaMorph,3.1.0.79,12,SM110208,SM110208,3 ms,1,Gain 1 (1x),GFP,10X S Fluor,38.2753,0.645,0.645,44384.1,1738.44,11087.2,Off,1392,1040,1,Off,-29.95,1,1,0,0,1,on,um,A01 : Site 1,520
bKB03-2B-1297191313_wA01_s2_z1_t1_cCy3_u001.tif,20110208 18:56:24.178,MetaMorph,3.1.0.79,12,SM110208,SM110208,82 ms,1,Gain 1 (1x),Texas Red,10X S Fluor,30.6105,0.645,0.645,45281.9,1738.44,11092.9,Off,1392,1040,1,Off,-29.95,1,1,0,0,1,on,um,A01 : Site 2,624
bKB03-2B-1297191313_wA01_s2_z1_t1_cDAPI_u001.tif,20110208 18:56:23.122,MetaMorph,3.1.0.79,12,SM110208,SM110208,4 ms,1,Gain 1 (1x),DAPI,10X S Fluor,30.6105,0.645,0.645,45282.1,1738.44,11089.9,Off,1392,1040,1,Off,-29.95,1,1,0,0,1,on,um,A01 : Site 2,447
bKB03-2B-1297191313_wA01_s2_z1_t1_cGFP_u001.tif,20110208 18:56:24.986,MetaMorph,3.1.0.79,12,SM110208,SM110208,3 ms,1,Gain 1 (1x),GFP,10X S Fluor,30.6105,0.645,0.645,45282.1,1738.44,11092.8,Off,1392,1040,1,Off,-29.95,1,1,0,0,1,on,um,A01 : Site 2,520
bKB03-2B-1297191313_wA01_s3_z1_t1_cCy3_u001.tif,20110208 18:56:27.967,MetaMorph,3.1.0.79,12,SM110208,SM110208,82 ms,1,Gain 1 (1x),Texas Red,10X S Fluor,31.8434,0.645,0.645,44384.1,2409.24,11087.8,Off,1392,1040,1,Off,-29.95,1,1,0,0,1,on,um,A01 : Site 3,624
bKB03-2B-1297191313_wA01_s3_z1_t1_cDAPI_u001.tif,20110208 18:56:26.917,MetaMorph,3.1.0.79,12,SM110208,SM110208,4 ms,1,Gain 1 (1x),DAPI,10X S Fluor,31.8434,0.645,0.645,44383.9,2409.34,11084.7,Off,1392,1040,1,Off,-29.95,1,1,0,0,1,on,um,A01 : Site 3,447
bKB03-2B-1297191313_wA01_s3_z1_t1_cGFP_u001.tif,20110208 18:56:28.660,MetaMorph,3.1.0.79,12,SM110208,SM110208,3 ms,1,Gain 1 (1x),GFP,10X S Fluor,31.8434,0.645,0.645,44384.2,2409.24,11087.7,Off,1392,1040,1,Off,-29.95,1,1,0,0,1,on,um,A01 : Site 3,520
bKB03-2B-1297191313_wA01_s4_z1_t1_cCy3_u001.tif,20110208 18:56:31.602,MetaMorph,3.1.0.79,12,SM110208,SM110208,82 ms,1,Gain 1 (1x),Texas Red,10X S Fluor,27.7308,0.645,0.645,45282,2409.24,11089.9,Off,1392,1040,1,Off,-29.95,1,1,0,0,1,on,um,A01 : Site 4,624
bKB03-2B-1297191313_wA01_s4_z1_t1_cDAPI_u001.tif,20110208 18:56:30.566,MetaMorph,3.1.0.79,12,SM110208,SM110208,4 ms,1,Gain 1 (1x),DAPI,10X S Fluor,27.7308,0.645,0.645,45282,2409.24,11086.9,Off,1392,1040,1,Off,-29.95,1,1,0,0,1,on,um,A01 : Site 4,447
bKB03-2B-1297191313_wA01_s4_z1_t1_cGFP_u001.tif,20110208 18:56:32.436,MetaMorph,3.1.0.79,12,SM110208,SM110208,3 ms,1,Gain 1 (1x),GFP,10X S Fluor,27.7308,0.645,0.645,45282.1,2409.24,11090,Off,1392,1040,1,Off,-29.95,1,1,0,0,1,on,um,A01 : Site 4,520
bKB03-2B-1297191313_wA01_s5_z1_t1_cCy3_u001.tif,20110208 18:56:35.368,MetaMorph,3.1.0.79,12,SM110208,SM110208,82 ms,1,Gain 1 (1x),Texas Red,10X S Fluor,29.1204,0.645,0.645,44384.2,3080.04,11091.6,Off,1392,1040,1,Off,-29.95,1,1,0,0,1,on,um,A01 : Site 5,624
bKB03-2B-1297191313_wA01_s5_z1_t1_cDAPI_u001.tif,20110208 18:56:34.329,MetaMorph,3.1.0.79,12,SM110208,SM110208,4 ms,1,Gain 1 (1x),DAPI,10X S Fluor,29.1204,0.645,0.645,44383.9,3080.18,11088.6,Off,1392,1040,1,Off,-29.95,1,1,0,0,1,on,um,A01 : Site 5,447
