position	side	row	column
1	Right	1	3
1	Left	1	4
2	Right	1	5
2	Left	1	6
3	Right	1	7
3	Left	1	8
4	Right	1	9
4	Left	1	10
5	Right	1	11
5	Left	1	12
6	Right	1	13
6	Left	1	14
7	Right	1	15
7	Left	1	16
8	Right	1	17
8	Left	1	18
9	Right	1	19
9	Left	1	20
10	Right	1	21
10	Left	1	22
11	Right	1	23
11	Left	1	24
12	Right	1	25
12	Left	1	26
13	Right	1	27
13	Left	1	28
14	Right	1	29
14	Left	1	30
15	Right	1	31
15	Left	1	32
16	Right	1	33
16	Left	1	34
17	Right	1	35
17	Left	1	36
18	Right	1	37
18	Left	1	38
19	Right	1	39
19	Left	1	40
20	Right	1	41
20	Left	1	42
21	Right	1	43
21	Left	1	44
22	Right	1	45
22	Left	1	46
23	Right	1	47
23	Left	1	48
24	Right	2	47
24	Left	2	48
25	Right	2	45
25	Left	2	46
26	Right	2	43
26	Left	2	44
27	Right	2	41
27	Left	2	42
28	Right	2	39
28	Left	2	40
29	Right	2	37
29	Left	2	38
30	Right	2	35
30	Left	2	36
31	Right	2	33
31	Left	2	34
32	Right	2	31
32	Left	2	32
33	Right	2	29
33	Left	2	30
34	Right	2	27
34	Left	2	28
35	Right	2	25
35	Left	2	26
36	Right	2	23
36	Left	2	24
37	Right	2	21
37	Left	2	22
38	Right	2	19
38	Left	2	20
39	Right	2	17
39	Left	2	18
40	Right	2	15
40	Left	2	16
41	Right	2	13
41	Left	2	14
42	Right	2	11
42	Left	2	12
43	Right	2	9
43	Left	2	10
44	Right	2	7
44	Left	2	8
45	Right	2	5
45	Left	2	6
46	Right	2	3
46	Left	2	4
47	Right	3	3
47	Left	3	4
48	Right	3	5
48	Left	3	6
49	Right	3	7
49	Left	3	8
50	Right	3	9
50	Left	3	10
51	Right	3	11
51	Left	3	12
52	Right	3	13
52	Left	3	14
53	Right	3	15
53	Left	3	16
54	Right	3	17
54	Left	3	18
55	Right	3	19
55	Left	3	20
56	Right	3	21
56	Left	3	22
57	Right	3	23
57	Left	3	24
58	Right	3	25
58	Left	3	26
59	Right	3	27
59	Left	3	28
60	Right	3	29
60	Left	3	30
61	Right	3	31
61	Left	3	32
62	Right	3	33
62	Left	3	34
63	Right	3	35
63	Left	3	36
64	Right	3	37
64	Left	3	38
65	Right	3	39
65	Left	3	40
66	Right	3	41
66	Left	3	42
67	Right	3	43
67	Left	3	44
68	Right	3	45
68	Left	3	46
69	Right	3	47
69	Left	3	48
70	Right	4	47
70	Left	4	48
71	Right	4	45
71	Left	4	46
72	Right	4	43
72	Left	4	44
73	Right	4	41
73	Left	4	42
74	Right	4	39
74	Left	4	40
75	Right	4	37
75	Left	4	38
76	Right	4	35
76	Left	4	36
77	Right	4	33
77	Left	4	34
78	Right	4	31
78	Left	4	32
79	Right	4	29
79	Left	4	30
80	Right	4	27
80	Left	4	28
81	Right	4	25
81	Left	4	26
82	Right	4	23
82	Left	4	24
83	Right	4	21
83	Left	4	22
84	Right	4	19
84	Left	4	20
85	Right	4	17
85	Left	4	18
86	Right	4	15
86	Left	4	16
87	Right	4	13
87	Left	4	14
88	Right	4	11
88	Left	4	12
89	Right	4	9
89	Left	4	10
90	Right	4	7
90	Left	4	8
91	Right	4	5
91	Left	4	6
92	Right	4	3
92	Left	4	4
93	Right	5	3
93	Left	5	4
94	Right	5	5
94	Left	5	6
95	Right	5	7
95	Left	5	8
96	Right	5	9
96	Left	5	10
97	Right	5	11
97	Left	5	12
98	Right	5	13
98	Left	5	14
99	Right	5	15
99	Left	5	16
100	Right	5	17
100	Left	5	18
101	Right	5	19
101	Left	5	20
102	Right	5	21
102	Left	5	22
103	Right	5	23
103	Left	5	24
104	Right	5	25
104	Left	5	26
105	Right	5	27
105	Left	5	28
106	Right	5	29
106	Left	5	30
107	Right	5	31
107	Left	5	32
108	Right	5	33
108	Left	5	34
109	Right	5	35
109	Left	5	36
110	Right	5	37
