WellName;TotalCells;InfectedCells;InfectionIndex;RelativeInfectionIndex;Log2RelativeInfectionIndex;Log2RelativeCellNumber;ZScore;MAD;Images;OligoNumber;PlateNumber;ReplicaNumber;BatchNumber;GeneData;GeneID;WellRow;WellCol;Path;ImageIndices;RawImages;BigNumber;Zero
A01;2825;27;0.009558;0.279527;-1.838942;-0.411522;-1.401718;-2.641069;9;2;37;6;0;Blank;Blank;1;1; ; ;9;1.11E+15;0
A02;5544;206;0.037157;1.086731;0.119995;0.561154;0.126354;0.172351;9;2;37;6;0;Blank;Blank;1;2; ; ;9;1.11E+15;0
A03;2206;48;0.021759;0.636376;-0.652049;-0.76834;-0.47588;-0.936456;9;2;37;6;0;HSPC150;29089;1;3; ; ;9;1.11E+15;0
A04;4940;162;0.032794;0.959105;-0.06024;0.394738;-0.014238;-0.086501;9;2;37;6;0;SOST;50964;1;4; ; ;9;1.11E+15;0
A05;3928;50;0.012729;0.372286;-1.425517;0.064022;-1.079225;-2.04731;9;2;37;6;0;PDCD1LG1;29126;1;5; ; ;9;1.11E+15;0
A06;4374;410;0.093736;2.741467;1.454948;0.21918;1.167687;2.089608;9;2;37;6;0;TXNDC11;51061;1;6; ; ;9;1.11E+15;0
A07;1640;265;0.161585;4.725851;2.240574;-1.196077;1.780516;3.217922;9;2;37;6;0;NPC1L1;29881;1;7; ; ;9;1.11E+15;0
A08;4496;150;0.033363;0.97576;-0.035402;0.258869;0.005137;-0.050829;8;2;37;6;0;APH-1A;51107;1;8; ; ;9;9.88E+14;0
A09;5129;102;0.019887;0.581628;-0.781831;0.448904;-0.577116;-1.122849;9;2;37;6;0;RPA4;29935;1;9; ; ;9;1.11E+15;0
A10;5953;226;0.037964;1.110326;0.150983;0.663844;0.150527;0.216857;9;2;37;6;0;LOC51136;51136;1;10; ; ;9;1.11E+15;0
A11;4461;146;0.032728;0.957191;-0.063121;0.247594;-0.016485;-0.09064;9;2;37;6;0;UBQLN2;29978;1;11; ; ;9;1.11E+15;0
A12;3119;259;0.083039;2.428636;1.280146;-0.26869;1.031333;1.838557;9;2;37;6;0;DHRS10;51171;1;12; ; ;9;1.11E+15;0
A13;3825;137;0.035817;1.047532;0.066994;0.025687;0.085011;0.096231;9;2;37;6;0;EFEMP2;30008;1;13; ; ;9;1.11E+15;0
A14;2855;61;0.021366;0.624887;-0.678332;-0.396282;-0.496382;-0.974204;9;2;37;6;0;RAPGEFL1;51195;1;14; ; ;9;1.11E+15;0
A15;4486;187;0.041685;1.219159;0.285886;0.255657;0.255758;0.410604;9;2;37;6;0;CXXC1;30827;1;15; ; ;9;1.11E+15;0
A16;2719;69;0.025377;0.742195;-0.43013;-0.466697;-0.302772;-0.617737;9;2;37;6;0;LOC51255;51255;1;16; ; ;9;1.11E+15;0
A17;3369;49;0.014544;0.425376;-1.233189;-0.157453;-0.929199;-1.771088;9;2;37;6;0;SMARCAL1;50485;1;17; ; ;9;1.11E+15;0
A18;5528;425;0.076881;2.248531;1.168983;0.556985;0.94462;1.678905;9;2;37;6;0;TLR7;51284;1;18; ; ;9;1.11E+15;0
A19;3795;105;0.027668;0.809199;-0.305433;0.014327;-0.205501;-0.438647;9;2;37;6;0;IL22;50616;1;19; ; ;9;1.11E+15;0
A20;3139;1164;0.370819;10.845252;3.438992;-0.259468;2.715344;4.939086;9;2;37;6;0;SLC22A17;51310;1;20; ; ;9;1.11E+15;0
A21;3632;131;0.036068;1.054881;0.07708;-0.049009;0.092879;0.110717;9;2;37;6;0;DHH;50846;1;21; ; ;9;1.11E+15;0
A22;4558;892;0.1957;5.72359;2.51692;0.278628;1.996081;3.61481;8;2;37;6;0;MS4A4A;51338;1;22; ; ;9;9.88E+14;0
A23;4619;2358;0.5105;14.930481;3.900189;0.297807;3.075102;5.601456;9;2;37;6;0;Blank;Blank;1;23; ; ;9;1.11E+15;0
A24;5758;1473;0.255818;7.481851;2.903395;0.615795;2.297551;4.169864;9;2;37;6;0;Blank;Blank;1;24; ; ;9;1.11E+15;0
B01;5701;6;0.001052;0.030781;-5.021831;0.601442;-3.884536;-7.212327;9;2;37;6;0;Blank;Blank;2;1; ; ;9;1.11E+15;0
B02;5723;155;0.027084;0.792111;-0.336226;0.606999;-0.229521;-0.482872;9;2;37;6;0;Blank;Blank;2;2; ; ;9;1.11E+15;0
B03;3289;510;0.155062;4.535073;2.181126;-0.192124;1.734144;3.132542;7;2;37;6;0;UCHL5;51377;2;3; ; ;9;8.64E+14;0
B04;4525;257;0.056796;1.661088;0.732128;0.268145;0.60385;1.051495;9;2;37;6;0;FXYD5;53827;2;4; ; ;9;1.11E+15;0
B05;4835;110;0.022751;0.665387;-0.587735;0.363743;-0.425711;-0.844088;9;2;37;6;0;POLK;51426;2;5; ; ;9;1.11E+15;0
