Data Set Code;Plate Identifier;Row;Column;Gene_ID;Well_ID;Score;HitRate;CellNumber;PotentialOOF
20100824131256301-79295;DEMO:/TEST/H174-3C;A;1;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;A;2;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;A;3;9987;42861;0.778140008;0.778140008;2164;1
20100824131256301-79295;DEMO:/TEST/H174-3C;A;4;9988;23337;1.342200041;1.342200041;625;0.995220006
20100824131256301-79295;DEMO:/TEST/H174-3C;A;5;9989;48749;0.555630028;0.555630028;988;0.998989999
20100824131256301-79295;DEMO:/TEST/H174-3C;A;6;9990;47885;0.447230011;0.447230011;1655;1
20100824131256301-79295;DEMO:/TEST/H174-3C;A;7;9991;33543;1.232800007;1.164800048;233;0.991490006
20100824131256301-79295;DEMO:/TEST/H174-3C;A;8;9992;21603;0.309109986;0.309109986;878;1
20100824131256301-79295;DEMO:/TEST/H174-3C;A;9;9993;41381;0.874180019;0.874180019;1263;1
20100824131256301-79295;DEMO:/TEST/H174-3C;A;10;9994;29908;0.536360025;0.536360025;276;1
20100824131256301-79295;DEMO:/TEST/H174-3C;A;11;9995;35892;1.657699943;1.657699943;960;0.996879995
20100824131256301-79295;DEMO:/TEST/H174-3C;A;12;9996;25952;0.331319988;0.331319988;1117;0.999109983
20100824131256301-79295;DEMO:/TEST/H174-3C;A;13;9997;21751;1.385400057;1.385400057;1024;0.99901998
20100824131256301-79295;DEMO:/TEST/H174-3C;A;14;9998;9610;1.425300002;1.425300002;251;1
20100824131256301-79295;DEMO:/TEST/H174-3C;A;15;9999;47254;0.812609971;0.812609971;797;1
20100824131256301-79295;DEMO:/TEST/H174-3C;A;16;10000;8096;0.634130001;0.634130001;2208;1
20100824131256301-79295;DEMO:/TEST/H174-3C;A;17;10001;12493;1.366999984;1.366999984;555;1
20100824131256301-79295;DEMO:/TEST/H174-3C;A;18;10002;36813;1.265699983;1.265699983;385;1
20100824131256301-79295;DEMO:/TEST/H174-3C;A;19;10003;17646;1.42869997;0.560739994;33;0.098214
20100824131256301-79295;DEMO:/TEST/H174-3C;A;20;10004;5707;0.980000019;0;5;0.022523001
20100824131256301-79295;DEMO:/TEST/H174-3C;A;21;10005;27628;2.157399893;2.157399893;629;1
20100824131256301-79295;DEMO:/TEST/H174-3C;A;22;10006;23037;1.213500023;1.213500023;981;1
20100824131256301-79295;DEMO:/TEST/H174-3C;A;23;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;A;24;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;B;1;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;B;2;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;B;3;10011;21564;0.303730011;0.303730011;264;1
