WellName;TotalCells;InfectedCells;InfectionIndex;RelativeInfectionIndex;Log2RelativeInfectionIndex;Log2RelativeCellNumber;ZScore;MAD;Images;OligoNumber;PlateNumber;ReplicaNumber;BatchNumber;GeneData;WellRow;WellCol;Constant;BigNumber;Zero;JustNaN;SomeNaN;SomeBlanks;TextAndNumbers;JustInf;SomeInf;Blanks;SmallNumbers
A01;2825;27;0.009558;0.279527;-1.838942;-0.411522;-1.401718;-2.641069;9;2;37;6;0;Blank;1;1;9;1.11E+15;0;NaN;-0.76797;;Blank;inf;-0.76797;;-1.9713
A02;5544;206;0.037157;1.086731;0.119995;0.561154;0.126354;0.172351;9;2;37;6;0;Blank;1;2;9;1.11E+15;0;NaN;-0.71666;;Blank;inf;-0.71666;;1.1158
A03;2206;48;0.021759;0.636376;-0.652049;-0.76834;-0.47588;-0.936456;9;2;37;6;0;HSPC150;1;3;9;1.11E+15;0;NaN;0.33149;1;29089;inf;0.33149;0.778140008;1.4558
A04;4940;162;0.032794;0.959105;-0.06024;0.394738;-0.014238;-0.086501;9;2;37;6;0;SOST;1;4;9;1.11E+15;0;NaN;0.79382;0.995220006;50964;inf;0.79382;1.342200041;0.6971
A05;3928;50;0.012729;0.372286;-1.425517;0.064022;-1.079225;-2.04731;9;2;37;6;0;PDCD1LG1;1;5;9;1.11E+15;0;NaN;NaN;0.998989999;29126;inf;inf;0.555630028;-0.97955
A06;4374;410;0.093736;2.741467;1.454948;0.21918;1.167687;2.089608;9;2;37;6;0;TXNDC11;1;6;9;1.11E+15;0;NaN;0.57864;1;51061;inf;0.57864;0.447230011;0.83762
A07;1640;265;0.161585;4.725851;2.240574;-1.196077;1.780516;3.217922;9;2;37;6;0;NPC1L1;1;7;9;1.11E+15;0;NaN;-0.59814;0.991490006;29881;inf;-0.59814;1.232800007;-0.80974
A08;4496;150;0.033363;0.97576;-0.035402;0.258869;0.005137;-0.050829;8;2;37;6;0;APH-1A;1;8;9;9.88E+14;0;NaN;-0.070537;1;51107;inf;-0.070537;0.309109986;-0.50642
A09;5129;102;0.019887;0.581628;-0.781831;0.448904;-0.577116;-1.122849;9;2;37;6;0;RPA4;1;9;9;1.11E+15;0;NaN;0.034338;1;29935;inf;0.034338;0.874180019;-0.99547
A10;5953;226;0.037964;1.110326;0.150983;0.663844;0.150527;0.216857;9;2;37;6;0;LOC51136;1;10;9;1.11E+15;0;NaN;0.4046;1;51136;inf;0.4046;0.536360025;-0.27114
A11;4461;146;0.032728;0.957191;-0.063121;0.247594;-0.016485;-0.09064;9;2;37;6;0;UBQLN2;1;11;9;1.11E+15;0;NaN;0.63804;0.996879995;29978;inf;0.63804;1.657699943;0.43404
A12;3119;259;0.083039;2.428636;1.280146;-0.26869;1.031333;1.838557;9;2;37;6;0;DHRS10;1;12;9;1.11E+15;0;NaN;-0.026301;0.999109983;51171;inf;-0.026301;0.331319988;-0.62994
A13;3825;137;0.035817;1.047532;0.066994;0.025687;0.085011;0.096231;9;2;37;6;0;EFEMP2;1;13;9;1.11E+15;0;NaN;-0.057622;0.99901998;30008;inf;-0.057622;1.385400057;-0.35398
A14;2855;61;0.021366;0.624887;-0.678332;-0.396282;-0.496382;-0.974204;9;2;37;6;0;RAPGEFL1;1;14;9;1.11E+15;0;NaN;-0.66681;1;51195;inf;-0.66681;1.425300002;-1.1184
A15;4486;187;0.041685;1.219159;0.285886;0.255657;0.255758;0.410604;9;2;37;6;0;CXXC1;1;15;9;1.11E+15;0;NaN;-0.51042;1;30827;inf;-0.51042;0.812609971;-1.0119
A16;2719;69;0.025377;0.742195;-0.43013;-0.466697;-0.302772;-0.617737;9;2;37;6;0;LOC51255;1;16;9;1.11E+15;0;NaN;-1.1174;1;51255;inf;-1.1174;0.634130001;-0.55426
A17;3369;49;0.014544;0.425376;-1.233189;-0.157453;-0.929199;-1.771088;9;2;37;6;0;SMARCAL1;1;17;9;1.11E+15;0;NaN;0.42937;1;50485;inf;0.42937;1.366999984;0.91324
A18;5528;425;0.076881;2.248531;1.168983;0.556985;0.94462;1.678905;9;2;37;6;0;TLR7;1;18;9;1.11E+15;0;NaN;1.2208;1;51284;inf;1.2208;1.265699983;2.0911
A19;3795;105;0.027668;0.809199;-0.305433;0.014327;-0.205501;-0.438647;9;2;37;6;0;IL22;1;19;9;1.11E+15;0;NaN;-0.20612;0.098214;50616;inf;-0.20612;1.42869997;-0.41971
A20;3139;1164;0.370819;10.845252;3.438992;-0.259468;2.715344;4.939086;9;2;37;6;0;SLC22A17;1;20;9;1.11E+15;0;NaN;-0.35028;0.022523001;51310;inf;-0.35028;0.980000019;-0.20974
A21;3632;131;0.036068;1.054881;0.07708;-0.049009;0.092879;0.110717;9;2;37;6;0;DHH;1;21;9;1.11E+15;0;NaN;2.2305;1;50846;inf;2.2305;2.157399893;1.8251
A22;4558;892;0.1957;5.72359;2.51692;0.278628;1.996081;3.61481;8;2;37;6;0;MS4A4A;1;22;9;9.88E+14;0;NaN;0.21489;1;51338;inf;0.21489;1.213500023;-0.50053
A23;4619;2358;0.5105;14.930481;3.900189;0.297807;3.075102;5.601456;9;2;37;6;0;Blank;1;23;9;1.11E+15;0;NaN;NaN;;Blank;inf;inf;;0.9957
A24;5758;1473;0.255818;7.481851;2.903395;0.615795;2.297551;4.169864;9;2;37;6;0;Blank;1;24;9;1.11E+15;0;NaN;0.43961;;Blank;inf;0.43961;;-0.41292
B01;5701;6;0.001052;0.030781;-5.021831;0.601442;-3.884536;-7.212327;9;2;37;6;0;Blank;2;1;9;1.11E+15;0;NaN;NaN;;Blank;inf;inf;;1.087
B02;5723;155;0.027084;0.792111;-0.336226;0.606999;-0.229521;-0.482872;9;2;37;6;0;Blank;2;2;9;1.11E+15;0;NaN;-1.595;;Blank;inf;-1.595;;-0.92625
B03;3289;510;0.155062;4.535073;2.181126;-0.192124;1.734144;3.132542;7;2;37;6;0;UCHL5;2;3;9;8.64E+14;0;NaN;NaN;1;51377;inf;inf;0.303730011;-1.0279
B04;4525;257;0.056796;1.661088;0.732128;0.268145;0.60385;1.051495;9;2;37;6;0;FXYD5;2;4;9;1.11E+15;0;NaN;0.45154;1;53827;inf;0.45154;0.929120004;0.24428
B05;4835;110;0.022751;0.665387;-0.587735;0.363743;-0.425711;-0.844088;9;2;37;6;0;POLK;2;5;9;1.11E+15;0;NaN;0.044839;1;51426;inf;0.044839;1.124500036;-0.40523
B06;3388;110;0.032468;0.949571;-0.074653;-0.149339;-0.025481;-0.107201;9;2;37;6;0;RAB24;2;6;9;1.11E+15;0;NaN;0.24289;1;53917;inf;0.24289;0.704270005;0.56734
B07;5754;101;0.017553;0.513369;-0.961932;0.614792;-0.717605;-1.38151;9;2;37;6;0;EVL;2;7;9;1.11E+15;0;NaN;-0.56511;0.998939991;51466;inf;-0.56511;0.801389992;0.52893
B08;4214;192;0.045562;1.332554;0.414194;0.165417;0.355845;0.594879;9;2;37;6;0;CYCS;2;8;9;1.11E+15;0;NaN;-0.51134;0.996420026;54205;inf;-0.51134;0.221870005;-0.85839
B09;4883;183;0.037477;1.09608;0.132353;0.377995;0.135995;0.1901;9;2;37;6;0;RAMP;2;9;9;1.11E+15;0;NaN;NaN;1;51514;inf;inf;0.810259998;-1.7792
B10;3192;166;0.052005;1.520979;0.605;-0.235312;0.504684;0.868915;9;2;37;6;0;SLC38A2;2;10;9;1.11E+15;0;NaN;-0.49723;1;54407;inf;-0.49723;1.834300041;-0.74859
B11;1553;41;0.026401;0.77213;-0.373085;-1.274715;-0.258273;-0.535808;9;2;37;6;0;RAB6B;2;11;9;1.11E+15;0;NaN;-0.83289;1;51560;inf;-0.83289;0.87875998;-1.7519
B12;4599;76;0.016525;0.483313;-1.048971;0.291547;-0.7855;-1.506515;9;2;37;6;0;ANKIB1;2;12;9;1.11E+15;0;NaN;-0.55694;0.995069981;54467;inf;-0.55694;1.129799962;0.44957
B13;5869;84;0.014312;0.418594;-1.256376;0.643342;-0.947286;-1.804389;9;2;37;6;0;KIAA0859;2;13;9;1.11E+15;0;NaN;NaN;1;51603;inf;inf;0.500689983;-0.61879
B14;1349;13;0.009637;0.281844;-1.827029;-1.477883;-1.392425;-2.62396;9;2;37;6;0;PCDH18;2;14;9;1.11E+15;0;NaN;-1.1629;1;54510;inf;-1.1629;0.896269977;0.56888
B15;3081;118;0.038299;1.12013;0.163666;-0.286374;0.16042;0.235071;9;2;37;6;0;ASB4;2;15;9;1.11E+15;0;NaN;NaN;0.995350003;51666;inf;inf;1.072399974;0.22385
