CODE	NAME	PROT_NAME	GENE_NAME	LENGTH	CHEMBL	DESC
P08908	5HT1A_HUMAN	5-hydroxytryptamine receptor 1A (5-HT-1A) (5-HT1A) (G-21) (Serotonin receptor 1A)	HTR1A ADRB2RL1 ADRBRL1	422	CHEMBL214	5-hydroxytryptamine receptor 1A
P28222	5HT1B_HUMAN	5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (S12) (Serotonin 1D beta receptor) (5-HT-1D-beta) (Serotonin receptor 1B)	HTR1B HTR1DB	390	CHEMBL1898	5-hydroxytryptamine receptor 1B
P28221	5HT1D_HUMAN	5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (5-HT-1D-alpha) (Serotonin receptor 1D)	HTR1D HTR1DA HTRL	377	CHEMBL1983	5-hydroxytryptamine receptor 1D
P28566	5HT1E_HUMAN	5-hydroxytryptamine receptor 1E (5-HT-1E) (5-HT1E) (S31) (Serotonin receptor 1E)	HTR1E	365	CHEMBL2182	5-hydroxytryptamine receptor 1E
P30939	5HT1F_HUMAN	5-hydroxytryptamine receptor 1F (5-HT-1F) (5-HT1F) (Serotonin receptor 1F)	HTR1F HTR1EL	366	CHEMBL1805	5-hydroxytryptamine receptor 1F
P28223	5HT2A_HUMAN	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	HTR2A HTR2	471	CHEMBL224	5-hydroxytryptamine receptor 2A
P41595	5HT2B_HUMAN	5-hydroxytryptamine receptor 2B (5-HT-2B) (5-HT2B) (Serotonin receptor 2B)	HTR2B	481	CHEMBL1833	5-hydroxytryptamine receptor 2B
P28335	5HT2C_HUMAN	5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)	HTR2C HTR1C	458	CHEMBL225	5-hydroxytryptamine receptor 2C
P46098	5HT3A_HUMAN	5-hydroxytryptamine receptor 3A (5-HT3-A) (5-HT3A) (5-hydroxytryptamine receptor 3) (5-HT-3) (5-HT3R) (Serotonin receptor 3A) (Serotonin-gated ion channel receptor)	HTR3A 5HT3R HTR3	478	CHEMBL1899	5-hydroxytryptamine receptor 3A
O95264	5HT3B_HUMAN	5-hydroxytryptamine receptor 3B (5-HT3-B) (5-HT3B) (Serotonin receptor 3B)	HTR3B	441	CHEMBL3895	5-hydroxytryptamine receptor 3B
Q8WXA8	5HT3C_HUMAN	5-hydroxytryptamine receptor 3C (5-HT3-C) (5-HT3C) (Serotonin receptor 3C)	HTR3C	447	CHEMBL4795	5-hydroxytryptamine receptor 3C
Q70Z44	5HT3D_HUMAN	5-hydroxytryptamine receptor 3D (5-HT3-D) (5-HT3D) (Serotonin receptor 3D)	HTR3D	454	CHEMBL4673	5-hydroxytryptamine receptor 3D
A5X5Y0	5HT3E_HUMAN	5-hydroxytryptamine receptor 3E (5-HT3-E) (5-HT3E) (Serotonin receptor 3E)	HTR3E	456	CHEMBL3812	5-hydroxytryptamine receptor 3E
Q13639	5HT4R_HUMAN	5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4)	HTR4	388	CHEMBL1875	5-hydroxytryptamine receptor 4
P47898	5HT5A_HUMAN	5-hydroxytryptamine receptor 5A (5-HT-5) (5-HT-5A) (5-HT5A) (Serotonin receptor 5A)	HTR5A	357	CHEMBL3426	5-hydroxytryptamine receptor 5A
P50406	5HT6R_HUMAN	5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (Serotonin receptor 6)	HTR6	440	CHEMBL3371	5-hydroxytryptamine receptor 6
P34969	5HT7R_HUMAN	5-hydroxytryptamine receptor 7 (5-HT-7) (5-HT7) (5-HT-X) (Serotonin receptor 7)	HTR7	479	CHEMBL3155	5-hydroxytryptamine receptor 7
P08913	ADA2A_HUMAN	Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR)	ADRA2A ADRA2R ADRAR	450	CHEMBL1867	Alpha-2A adrenergic receptor
P18089	ADA2B_HUMAN	Alpha-2B adrenergic receptor (Alpha-2 adrenergic receptor subtype C2) (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR)	ADRA2B ADRA2L1 ADRA2RL1	450	CHEMBL1942	Alpha-2B adrenergic receptor
P42330	AK1C3_HUMAN	Aldo-keto reductase family 1 member C3 (EC 1.-.-.-) (17-beta-hydroxysteroid dehydrogenase type 5) (17-beta-HSD 5) (3-alpha-HSD type II, brain) (3-alpha-hydroxysteroid dehydrogenase type 2) (3-alpha-HSD type 2) (EC 1.1.1.213) (Chlordecone reductase homolog HAKRb) (Dihydrodiol dehydrogenase 3) (DD-3) (DD3) (Dihydrodiol dehydrogenase type I) (HA1753) (Indanol dehydrogenase) (EC 1.1.1.112) (Prostaglandin F synthase) (PGFS) (EC 1.1.1.188) (Testosterone 17-beta-dehydrogenase 5) (EC 1.1.1.63) (EC 1.1.1.64) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20)	AKR1C3 DDH1 HSD17B5 KIAA0119 PGFS	323	CHEMBL4681	Aldo-keto reductase family 1 member C3
