Code	Label
BENCH	Bench
G9_FRIDGE-1	G9 Fridge 1
G9_FRIDGE-2	G9 Fridge 2
G9_FREEZER-A	G9 Freezer A
G9_FREEZER-B	G9 Freezer B
G9_FREEZER-C	G9 Freezer C
G10_FREEZER-D	G10 Freezer D
G10_FREEZER-E	G10 Freezer E
G10_FREEZER-F	G10 Freezer F
G10_FREEZER-G	G10 Freezer G
G10_FREEZER-H	G10 Freezer H
G10_FREEZER-I	G10 Freezer I
G10_FRIDGE-3	G10 Fridge 3
G10_FRIDGE-4	G10 Fridge 4
G10_FRIDGE-5	G10 Fridge 5
G10_FRIDGE-6	G10 Fridge 6
G10_FRIDGE-7	G10 Fridge 7
G11_FRIDGE-8	G10 Fridge 8
G14_FREEZER-J	G14 Freezer J
G14_FREEZER-K	G14 Freezer K
G14_FREEZER-L	G14 Freezer L
G14_FREEZER-M	G14 Freezer M
G14_FRIDGE-9	G14 Fridge 9
G14_FRIDGE-10	G14 Fridge 10
G17_FRIDGE-11	G17 Fridge 11
G17_FRIDGE-12	G17 Fridge 12
G17_FREEZER-N	G17 Freezer N
USER_BENCH-20	Bench -20ºC
USER_BENCH-80	Bench -80ºC
USER_BENCH-RT	Bench RT
USER_BENCH	Bench
