Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P63104	1433Z_HUMAN	reviewed	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)	YWHAZ	Homo sapiens (Human)	245
P08908	5HT1A_HUMAN	reviewed	5-hydroxytryptamine receptor 1A (5-HT-1A) (5-HT1A) (G-21) (Serotonin receptor 1A)	HTR1A ADRB2RL1 ADRBRL1	Homo sapiens (Human)	422
P28222	5HT1B_HUMAN	reviewed	5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (S12) (Serotonin 1D beta receptor) (5-HT-1D-beta) (Serotonin receptor 1B)	HTR1B HTR1DB	Homo sapiens (Human)	390
P28221	5HT1D_HUMAN	reviewed	5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (5-HT-1D-alpha) (Serotonin receptor 1D)	HTR1D HTR1DA HTRL	Homo sapiens (Human)	377
P28566	5HT1E_HUMAN	reviewed	5-hydroxytryptamine receptor 1E (5-HT-1E) (5-HT1E) (S31) (Serotonin receptor 1E)	HTR1E	Homo sapiens (Human)	365
P30939	5HT1F_HUMAN	reviewed	5-hydroxytryptamine receptor 1F (5-HT-1F) (5-HT1F) (Serotonin receptor 1F)	HTR1F HTR1EL	Homo sapiens (Human)	366
P28223	5HT2A_HUMAN	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	HTR2A HTR2	Homo sapiens (Human)	471
P41595	5HT2B_HUMAN	reviewed	5-hydroxytryptamine receptor 2B (5-HT-2B) (5-HT2B) (Serotonin receptor 2B)	HTR2B	Homo sapiens (Human)	481
P28335	5HT2C_HUMAN	reviewed	5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)	HTR2C HTR1C	Homo sapiens (Human)	458
P46098	5HT3A_HUMAN	reviewed	5-hydroxytryptamine receptor 3A (5-HT3-A) (5-HT3A) (5-hydroxytryptamine receptor 3) (5-HT-3) (5-HT3R) (Serotonin receptor 3A) (Serotonin-gated ion channel receptor)	HTR3A 5HT3R HTR3	Homo sapiens (Human)	478
