code	label
ABCAM	abcam
CELL_SIGNALING	 cell signaling
STRATAGEN	 stratagene
CLONTECH	 clontech
UBI	 ubi
SOUTHERN_BIOTECH	 southern biotech
PIERCE	 pierce
PHARMIGEN	 pharmingen
MOLECULAR_PROBES	 molecular probes
PHARMACIA	 pharmacia
BIORAD	 biorad
EUROGENETIC	 eurogentec
HOMEMADE	 homemade
BD_BIOSCIENCE	 BD bioscience
OBTAINED_FROM	 obtained from 
ZYMED	 Zymed
UNKNOWN	 Unknown
SANTA_CRUZ	 Santa Cruz
BIOLEGEND	 Biolegend
BETHYL	 Bethyl
UPSTATE	 Upstate
ROCKLAND	 Rockland
NOVUS_BIOLOGICALS	 Novus Biologicals
CHEMICON_INTERNATIONAL	 Chemicon International
SIGMA	 Sigma
ALPHA_DIAGNOSTIC_INTERNATIONAL	 Alpha Diagnostic International
MILLIPORE	 Millipore
ACTIVE_MOTIF	 Active motif
NEB	 NEB
NEOMARKERS	 Neomarkers
LUBIOSCIENCE	 LubioScience
EBIOSCIENCE	 eBioscience
INVITROGEN	 Invitrogen
STRESSGEN	 Stressgen
COVANCE	 Covance
ENZO_LIFE_SCIENCES	 Enzo Life Sciences
CALBIOCHEM	 Calbiochem
ROCHE	 Roche
CYTOSKELETON	 Cytoskeleton
OPEN_BIOSYSTEMS	 Open Biosystems
BD_TRANSDUCTION	 BD Transduction
ATLAS_ANTIBODIES_AB	 Atlas Antibodies AB
GENENTECH	 Genentech
TRANSDUCTION_LABS	 Transduction Labs
ANTIBODIES_INCORPORATED	 Antibodies Incorporated
BABCO	 BAbCO
ERICH_NIGG_LAB_BASEL	 Erich Nigg lab (Basel)
FRANCIS_BARR	 Francis Barr
AVIVA_SYSTEMS_BIOLOGY	 Aviva Systems Biology
LUCERNACHEM	 LucernaChem
LI-COR	 LI-COR
ABGENT	 Abgent
CHROMOTEK	 Chromotek
ABNOVA	 Abnova
UNKNOWN	 Unknown
ABSEA	 Absea
GE_HEALTHCARE	 GE Healthcare
GRAMSCH_LABORATORIES	 Gramsch Laboratories
ADIPOGEN	 Adipogen
COSMO_BIO_CO	 Cosmo bio co.
BECKTON_DICKINSON	 Beckton Dickinson
BIOTIUM	 Biotium
